Centaur Zendo round 4 (training)
round_id : 5b2ec1877d2445a780c045aafecbbd18
written  : 2026-09-04 13:06:29Z
presented=467  answered=467  correct=467  skipped=0
client answer latency: mean 0.178 ms  median 0.169 ms  max 1.162 ms  (n=467)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  virel         24365/6                                   [-][][--][----][---]\n[-][---][---][-][…  1
   1  virel         62535/5                                   [----][--][][---][--]\n[-][--][-][][---…  1
   2  virel         366/2                                     [--][----][---]\n[][-][----][--]\n[----…  1
   3  virel         2343/4                                    [----][----]\n[][--][----]\n[][-][-][--…  1
   4  virel         63424/7                                   [-][----][---][---]\n[--][----][--][---…  1
   5  virel         35353/2                                   [--][][---][-][---]\n[][----][-][][----…  1
   6  virel         46262/3                                   [----][--][--][-][-]\n[---][][----][--]…  1
   7  virel         42523/3                                   [--][--][----][]\n[--][---][-][--]\n[--…  1
   8  virel         62653/6                                   [----][-][---][][----]\n[----][][-][---…  1
   9  virel         4434/1                                    [---][-][-][--]\n[--][----][---]\n[----…  1
  10  virel         325352/7                                  [--][-][-][-][-][--]\n[--][-][--][][--]…  1
  11  virel         345/1                                     [----][----]\n[][----][--]\n[][---][---…  1
  12  virel         525/1                                     [---][--][-]\n[---][][---]\n[----][----…  1
  13  virel         323253/7                                  [----][---][--][-]\n[----][][--][----]\…  1
  14  virel         343636/5                                  [---][--][----][----][--]\n[--][---][--…  1
  15  virel         334464/4                                  [----][---][-][][][----]\n[---][--][][-…  1
  16  virel         26562/1                                   [-][--][-][][][][---]\n[-][----][--][--…  1
  17  virel         2424/1                                    [--][][----]\n[][][-][---]\n[---][---][…  1
  18  virel         55454/6                                   [--][---][----][-][---]\n[----][-][----…  1
  19  virel         356/3                                     [----][---][-]\n[---][--][-][]\n[-][-][…  1
  20  virel         546/4                                     [---][---][---]\n[----][--][---]\n[---]…  1
  21  virel         564/4                                     [--][-][----][]\n[--][--][-][--]\n[--][…  1
  22  virel         6624/3                                    [--][][--][--][--]\n[--][----][][----]\…  1
  23  virel         336/1                                     [----][----]\n[--][][----]\n[-][--][---…  1
  24  virel         46245/4                                   [-][----][----][----]\n[-][--][--][---]…  1
  25  virel         322254/4                                  [----][][][---][-]\n[----][-][---][--]\…  1
  26  virel         2532/4                                    [-][--][---]\n[--][-][---]\n[--][--][--…  1
  27  virel         4624/5                                    [][][----][----]\n[---][---][----]\n[--…  1
  28  virel         23426/2                                   [-][----][-][---]\n[--][--][][--][-]\n[…  1
  29  virel         5224/3                                    [-][-][-][--]\n[-][--][----]\n[-][-][--…  1
  30  virel         463/2                                     [--][---][--]\n[-][--][----]\n[----][-]…  1
  31  virel         6465/1                                    [----][][----][][---]\n[---][----][][][…  1
  32  virel         4456/3                                    [-][][--][--][----]\n[-][----][][---][-…  1
  33  virel         653/1                                     [-][----][---]\n[--][][----][]\n[--][-]…  1
  34  virel         6636/2                                    [--][--][---][][----]\n[-][--][---][--]…  1
  35  virel         562/2                                     [---][---][-]\n[][][][-][--]\n[---][---…  1
  36  virel         65325/5                                   [----][][---][-][---]\n[][----][---][--…  1
  37  virel         3362/3                                    [--][][][----]\n[--][----][--]\n[--][--…  1
  38  virel         4364/2                                    [--][][--][-][--]\n[--][---][---][-]\n[…  1
  39  virel         5434/6                                    [----][----][--]\n[][][---][-][--]\n[][…  1
