Centaur Zendo round 2 (training)
round_id : a051880d63cb40be8cedf3a6b193fdf3
written  : 2026-09-04 16:39:28Z
presented=506  answered=500  correct=5  skipped=6
client answer latency: mean 0.095 ms  median 0.091 ms  max 0.212 ms  (n=506)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          m34687                                    more maybe machine marijuana magazine     0
   1  sarn          h216843                                   hell his husband hampshire horse hard     0
   2  sarn          a325132                                   aeio aob adfgmp am astu avw               0
   3  sarn          g146351                                   go great growing girl german ga           0
   4  sarn          f6121                                     further fi full fe                        0
   5  sarn          e826594                                   everything each economic episode educat…  0
   6  sarn          r35165                                    right release rye response realize        0
   7  sarn          s345                                      saeio sobcdf sdfgmpr                      0
   8  sarn          r627                                      release rye response                      0
   9  sarn          f544333                                   friend front field five fact form         0
  10  sarn          r672743                                   reiobcd rbcdfgmp rfg rprstuvw rtuvw rwae  0
  11  sarn          t24364                                    two think time tonight three              0
  12  sarn          e723                                      evidence eye else                         0
  13  sarn          p2234                                     play post party pretty                    0
  14  sarn          f23544                                    find front finding french figure          0
  15  sarn          e464862                                   eiobcd ebcdfgmp efgmpr eprstuvwae etuvw…  0
  16  sarn          b363565                                   both brought blue broken britain bridge   0
  17  sarn          s612                                      special set sea                           1
  18  sarn          a373                                      aiob acdfgmpr agmp                        0
  19  sarn          c657                                      control chance consider                   0
  20  sarn          a535                                      almost able action                        1
  21  sarn          m37453                                    music municipal moment missing march      0
  22  sarn          w3254                                     where were waiting window                 0
  23  sarn          f341443                                   fiobc fcdfgm fgm frstuv fuvwae faeio      0
  24  sarn          c384                                      came condition child                      0
  25  sarn          h52567                                    highly hood honest healthy handling       0
  26  sarn          a6433                                     aobcdfg adfgm ampr astu                   0
  27  sarn          h5246                                     highly him hotel hearing                  0
  28  sarn          p72132                                    property pool pa press piss               0
  29  sarn          p742286                                   professor pretty park page permission p…  0
  30  sarn          g33141                                    grand grade gym garden goa                0
  31  sarn          m42433                                    mobcdf mdfg mprstu mstuv mvwae            0
  32  sarn          h31313                                    high he head ha half                      0
  33  sarn          d1935                                     dog definition date demand                0
  34  sarn          l771115                                   lbcdfgmp lfgmprst lp lt lw liobcd         0
  35  sarn          b3964                                     book beneficial biggest built             0
  36  sarn          b537365                                   beyond bank basically blood baseball br…  0
  37  sarn          c95344                                    corporation certain check couple church   0
  38  sarn          l525                                      landing left listing                      0
  39  sarn          l13335                                    lbc lfgmp lprst ltuvw lwaeiob             0
  40  sarn          d4189                                     doubt da dependent disturbing             0
  41  sarn          b75645                                    behavior bought britain brown benefit     0
  42  sarn          h6586                                     hcdfgmp hgmprs hrstuvwae huvwaei          0
  43  sarn          l281422                                   lie liability lo lower lab lot            0
  44  sarn          p46155                                    price present pee policy posted           0
  45  sarn          f232112                                   four force five fly fox from              0
  46  sarn          c144                                      coe church choice                         0
  47  sarn          r442                                      rcdfgm rgmprs rstu                        0
  48  sarn          f54313                                    forget faith fine fo from                 0
  49  sarn          a72455                                    agreement act alone author around         0
  50  sarn          h542                                      hdfgmp hmprs hst                          0
  51  sarn          a35233                                    arms amount act adam also                 0
  52  sarn          e5425                                     easily extra eva engine                   0
  53  sarn          s125                                      son stop serious                          0
  54  sarn          l8362                                     limitation lying laughter late            0
  55  sarn          r615                                      rdfgmprs rmp rstuvwa                      0
  56  sarn          m79622                                    maintain motorcycle mixture mao moe       0
  57  sarn          f344643                                   fire faith fifth further found four       0
  58  sarn          t144                                      tf tprst tuvwa                            0
  59  sarn          w51234                                    writer wi wet with would                  0
  60  sarn          f445412                                   fresh faith figure first fu full          0
  61  sarn          s462541                                   saying standing stay someone school say   0
  62  sarn          e984628                                   electronics experiment ensure everyone …  0
  63  sarn          a59255                                    afgmprs aprstuvwaei atuv awaeiob aiobcdf  0
  64  sarn          e886                                      extensive elizabeth example               0
  65  sarn          t73154                                    territory team to trying think            0
  66  sarn          r672744                                   None                                      0
  67  sarn          p3323                                     pick pass put play                        0
  68  sarn          b334559                                   born base being between become bankrupt…  0
  69  sarn          p64422                                    previous posted people play post          0
  70  sarn          r45255                                    region revenue real release respect       0
  71  sarn          d417652                                   dgmprs drs duvwaeiob daeiobcd dobcdfg d…  0
  72  sarn          t742452                                   treating their two think taking tho       0
  73  sarn          t75522                                    throwing though trying tell took          0
  74  sarn          w4521                                     wmprs wstuvw wvw we                       0
  75  sarn          f524432                                   female for found final free fit           0
  76  sarn          g142                                      gi going gym                              0
  77  sarn          p434543                                   posted place please process person phone  0
