Centaur Zendo round 1 (training)
round_id : 1a3f95e823e343799250efbfba0014cd
written  : 2026-09-05 11:24:30Z
presented=137  answered=137  correct=0  skipped=0
client answer latency: mean 0.110 ms  median 0.107 ms  max 0.346 ms  (n=137)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  dornic        4H 5D 8H 10D KS\n6C 6S 8D 9C AH\n\n9H 9…  4H 5D 8H 10D KS\n6C 6S 8D 9C AH\n\n9H 9…  0
   1  kaldrin       [E]=[milk]=[pigs]=[pigs^]=[pigs]=[wool]…  [E]=[milk]=[pigs]=[pigs^]=[pigs]=[wool]…  0
   2  tavrik        uranium\nabandon\n\nbroker\naccept\npro…  uranium\nabandon\n\nbroker\naccept\npro…  0
   3  tresk         RGBRRGRGBG\nGRBGBRRRBG\n\nBGBRGBRRR\nRR…  RGBRRGRGBG\nGRBGBRRRBG\n\nBGBRGBRRR\nRR…  0
   4  tresk         GBBBGBGR\nGGGRBGBBGR\n\nRBGBRGG\nRBRBGG…  GBBBGBGR\nGGGRBGBBGR\n\nRBGBRGG\nRBRBGG…  0
   5  tresk         RGGBRR\nGRRGGBRBRB\n\nBRRRBGBB\nGRBRBBB…  RGGBRR\nGRRGGBRBRB\n\nBRRRBGBB\nGRBRBBB…  0
   6  ospren        #..##\n.....\n##.##\n#....\n###.#\n\n##…  #..##\n.....\n##.##\n#....\n###.#\n\n##…  0
   7  tresk         BBBBRBRB\nRRBRBB\n\nGGGBRRGRRG\nBRGGBGR…  BBBBRBRB\nRRBRBB\n\nGGGBRRGRRG\nBRGGBGR…  0
   8  tavrik        travel\nsocial\n\nmedal\npolar\nlaugh\n…  travel\nsocial\n\nmedal\npolar\nlaugh\n…  0
   9  tavrik        lesson\nwarner\n\ncoal\nfair\ncoin\nlea…  lesson\nwarner\n\ncoal\nfair\ncoin\nlea…  0
  10  kaldrin       [E]=[milk]=[milk]=[milk^]=[milk]=[milk]…  [E]=[milk]=[milk]=[milk^]=[milk]=[milk]…  0
  11  tresk         RGGRBBR\nBBRGRRR\n\nGRRRGBBR\nGRBRRBBR\…  RGGRBBR\nBBRGRRR\n\nGRRRGBBR\nGRBRRBBR\…  0
  12  ospren        ###.#\n..##.\n###.#\n.....\n###.#\n\n#.…  ###.#\n..##.\n###.#\n.....\n###.#\n\n#.…  0
  13  tavrik        thumb\nnova\n\nopposed\narrival\naverag…  thumb\nnova\n\nopposed\narrival\naverag…  0
  14  wisbek        3:32\n11:40\n\n5:39\n1:35\n4:30\n9:03\n…  3:32\n11:40\n\n5:39\n1:35\n4:30\n9:03\n…  0
  15  tavrik        voting\nneck\n\nvalley\nsummer\nfilled\…  voting\nneck\n\nvalley\nsummer\nfilled\…  0
  16  ospren        .#.#.\n##.##\n.###.\n.#.#.\n.....\n\n..…  .#.#.\n##.##\n.###.\n.#.#.\n.....\n\n..…  0
  17  kaldrin       [E]=[sand^]=[wool]=[pigs^]=[coal^]=[mil…  [E]=[sand^]=[wool]=[pigs^]=[coal^]=[mil…  0
  18  mestrel       [4|0][1|1][0|3][1|1][1|4]\n[6|4][4|4][0…  [4|0][1|1][0|3][1|1][1|4]\n[6|4][4|4][0…  0
  19  mestrel       [4|4][0|2][0|2][1|6][6|2][5|6]\n[0|0][0…  [4|4][0|2][0|2][1|6][6|2][5|6]\n[0|0][0…  0
  20  mestrel       [5|4][1|1][2|0][1|1]\n[6|6][6|6][6|6][3…  [5|4][1|1][2|0][1|1]\n[6|6][6|6][6|6][3…  0
  21  wisbek        3:12\n6:32\n\n12:57\n4:26\n1:28\n9:54\n…  3:12\n6:32\n\n12:57\n4:26\n1:28\n9:54\n…  0
  22  wisbek        10:40\n12:25\n\n3:21\n11:48\n1:35\n8:58…  10:40\n12:25\n\n3:21\n11:48\n1:35\n8:58…  0
  23  mestrel       [2|2][1|4][3|2][3|0][6|6]\n[3|3][3|1][4…  [2|2][1|4][3|2][3|0][6|6]\n[3|3][3|1][4…  0
  24  tresk         GBGBBRRR\nRGGRGBGBB\n\nRGRBRBBGRB\nRRBB…  GBGBBRRR\nRGGRGBGBB\n\nRGRBRBBGRB\nRRBB…  0
  25  tresk         RGRGGRRBRG\nRBGGBBRB\n\nRBBGBBBRR\nRBRB…  RGRGGRRBRG\nRBGGBBRB\n\nRBBGBBBRR\nRBRB…  0
  26  ospren        #####\n....#\n....#\n.....\n.....\n\n#.…  #####\n....#\n....#\n.....\n.....\n\n#.…  0
  27  dornic        2D 3D 8S 9C JC\n3S 7H 9H 10S KC\n\n7C 7…  2D 3D 8S 9C JC\n3S 7H 9H 10S KC\n\n7C 7…  0
  28  dornic        9C 10H QS KH AC\n6S 8D 8S 10C AD\n\n4S …  9C 10H QS KH AC\n6S 8D 8S 10C AD\n\n4S …  0
  29  tresk         RRGGBGRR\nGBRRBGB\n\nGGGBBBGGB\nBBBGBGG…  RRGGBGRR\nGBRRBGB\n\nGGGBBBGGB\nBBBGBGG…  0
  30  tavrik        rift\nsensory\n\nsmaller\nprotest\nchro…  rift\nsensory\n\nsmaller\nprotest\nchro…  0
  31  ospren        ##..#\n###..\n.#.##\n..#..\n...##\n\n#.…  ##..#\n###..\n.#.##\n..#..\n...##\n\n#.…  0
  32  ospren        ....#\n.....\n...#.\n#.##.\n...#.\n\n..…  ....#\n.....\n...#.\n#.##.\n...#.\n\n..…  0
  33  tavrik        watched\nfield\n\namid\nopen\nidol\nape…  watched\nfield\n\namid\nopen\nidol\nape…  0
  34  tavrik        heavy\navenue\n\nvinyl\nshiny\nfirst\nh…  heavy\navenue\n\nvinyl\nshiny\nfirst\nh…  0
  35  tavrik        norm\nperson\n\nmystery\nprotect\ncrick…  norm\nperson\n\nmystery\nprotect\ncrick…  0
  36  tresk         RRGGRRGBB\nGBBGRRG\n\nGBRRBGGB\nGGRBGBR…  RRGGRRGBB\nGBBGRRG\n\nGBRRBGGB\nGGRBGBR…  0
  37  wisbek        3:19\n8:29\n\n1:59\n7:44\n11:16\n5:43\n…  3:19\n8:29\n\n1:59\n7:44\n11:16\n5:43\n…  0
  38  mestrel       [1|3][5|5][3|1][2|4][6|0][3|4]\n[4|2][4…  [1|3][5|5][3|1][2|4][6|0][3|4]\n[4|2][4…  0
  39  tavrik        actor\nqueer\n\nstir\ngirl\nmart\ncord\…  actor\nqueer\n\nstir\ngirl\nmart\ncord\…  0
  40  tavrik        alien\nfixing\n\nrisky\nturns\ncrazy\nc…  alien\nfixing\n\nrisky\nturns\ncrazy\nc…  0
  41  mestrel       [2|3][0|0][0|0][4|6]\n[4|4][3|4][4|4][1…  [2|3][0|0][0|0][4|6]\n[4|4][3|4][4|4][1…  0
  42  dornic        4H 7H 8D 9D QC\n3D 6C QH QS AC\n\n3D 4C…  4H 7H 8D 9D QC\n3D 6C QH QS AC\n\n3D 4C…  0
  43  dornic        6D 10C KH KC AC\n4H 4C 9H 10S JC\n\n5H …  6D 10C KH KC AC\n4H 4C 9H 10S JC\n\n5H …  0
  44  tresk         RBBBRBGBRR\nRGRRBGRBBB\n\nRRRBGRRRGR\nR…  RBBBRBGBRR\nRGRRBGRBBB\n\nRRRBGRRRGR\nR…  0
  45  ospren        ....#\n###..\n.#..#\n###..\n....#\n\n..…  ....#\n###..\n.#..#\n###..\n....#\n\n..…  0
  46  mestrel       [4|5][4|4][3|4][4|2][4|3][6|4]\n[0|0][4…  [4|5][4|4][3|4][4|2][4|3][6|4]\n[0|0][4…  0
  47  dornic        3C 7S QD AH AD\n8C 9C 9S 10D KH\n\n2C 3…  3C 7S QD AH AD\n8C 9C 9S 10D KH\n\n2C 3…  0
  48  tavrik        worry\ndrift\n\ngang\ntext\nwatt\ntilt\…  worry\ndrift\n\ngang\ntext\nwatt\ntilt\…  0
