Centaur Zendo round 5 (training)
round_id : ae62afa58c7e4005ba6a153ae28350f4
written  : 2026-09-04 15:49:30Z
presented=40  answered=40  correct=1  skipped=0
client answer latency: mean 6.499 ms  median 2.994 ms  max 29.150 ms  (n=41)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        p2a3\n#################################…  ###|######|#######|######|########|####…  0
   1  garrow        m3s2\n#################################…  ########|###|##########|###|###|#######…  0
   2  garrow        o3m3\n################################\…  #####|##|##|##|#########|############\n…  0
   3  garrow        p4b3\n#################################…  ####|#####|#####|####|###|########|####…  0
   4  garrow        o4b3\n#################################…  ##########|#######|####|###|######|####…  0
   5  garrow        c4m3\n#################################…  #####|##########|#####|##|##|###|######…  0
   6  garrow        a3b2\n#################################…  ########|###|###|##########|#########\n…  0
   7  garrow        o4t4\n#################################…  ##|##|###########|##|###|##|######|####…  0
   8  garrow        t4s2\n#################################…  ####|#####|###|######|#######|########\…  0
   9  garrow        b1c3\n#################################…  ##################|####|###|##########\…  0
  10  garrow        o3s4\n#################################…  ######|###|####|###|######|#####|######…  0
  11  garrow        o4c3\n################################\…  ###|####|###|####|###|#######|########\…  0
  12  garrow        a4o2\n#################################…  ######|######|###|#####|######|########…  0
  13  garrow        m2b3\n#################################…  ###|########|###|#######|########|#####…  0
  14  garrow        b2t5\n################################\…  #########|###|###|#####|###|###|######\…  0
  15  garrow        o1p4\n#################################…  ##########|###|########|#######|######\…  0
  16  garrow        p3m4\n#################################…  ###|#####|########|#####|#######|#####|…  0
  17  garrow        t5m3\n#################################…  ####|###|###|###|########|########|####…  0
  18  garrow        a4s2\n#################################…  ###|######|########|###|######|########…  0
  19  garrow        p4o2\n#################################…  ##########|######|########|###|#####|##…  1
  20  garrow        t3c1\n#################################…  ##########|#################|###|######…  0
  21  garrow        o4t2\n#################################…  ####|###|#######|########|########|####…  0
  22  garrow        p2b2\n#################################…  #############|##|#####|################…  0
  23  garrow        a4m2\n#################################…  ###|####|#######|########|###|########\…  0
  24  garrow        o4c4\n#################################…  ####|###|###|###|###|#####|########|###…  0
  25  garrow        t4m3\n#################################…  #####|###|###|######|########|#####|###…  0
  26  garrow        o5m3\n#################################…  ###|######|###|#####|###|####|###|#####…  0
  27  garrow        s5t4\n#################################…  ####|##|##|##|####|###|######|##|######…  0
  28  garrow        s3c3\n#################################…  ###|########|###|######|########|######…  0
  29  garrow        o2c1\n#################################…  ##############################|###|####…  0
  30  garrow        b3a2\n#################################…  ###########|######|######|#####|#######…  0
  31  garrow        t2s4\n#################################…  ####|############|#####|##|###|##|#####…  0
  32  garrow        s3m3\n#################################…  ###|######|########|####|########|#####…  0
  33  garrow        p3s3\n#################################…  #####|########|######|##|###|##########…  0
  34  garrow        s3m2\n#################################…  ########|############|#####|###|#######…  0
  35  garrow        p2m4\n#################################…  #####|#####|###|########|######|#####|#…  0
  36  garrow        o3a3\n################################\…  ########|########|####|###|####|#####\n…  0
  37  garrow        t3p3\n#################################…  ####|########|########|###|###|######|#…  0
  38  garrow        b3m3\n#################################…  #######|###|####|########|########|####…  0
  39  garrow        o4b3\n#################################…  ####|#####|###|###|#######|########|###…  0

per-name tally this round
name             presented correct  hit-rate
garrow                  40       1      2.5%
