Centaur Zendo round 6 (training)
round_id : 70582a0499864121a275c0e82b542748
written  : 2026-09-04 16:45:58Z
presented=422  answered=422  correct=1  skipped=0
client answer latency: mean 0.148 ms  median 0.129 ms  max 6.971 ms  (n=422)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          t424642                                   that to this though they th               0
   1  sarn          e8874                                     elliptic evaluate entropy ella            0
   2  sarn          g322                                      got ga ge                                 0
   3  sarn          e876                                      employee encrypt expect                   0
   4  sarn          b375                                      bad believe black                         0
   5  sarn          d242335                                   da debt de dip din donor                  0
   6  sarn          m55667                                    might money making matter million         0
   7  sarn          r442146                                   rust roll ra r rout rename                0
   8  sarn          a36454                                    are always away after area                0
   9  sarn          l5235                                     larva li lag lyric                        0
  10  sarn          s16434                                    s second such say same                    0
  11  sarn          g124                                      g go gump                                 0
  12  sarn          c3834                                     can children car come                     0
  13  sarn          h224                                      hi ho hoon                                0
  14  sarn          e42265                                    each ed eu either early                   0
  15  sarn          d55698                                    dolph debit deduce desirable denounce     0
  16  sarn          c7466                                     control care coming chance                0
  17  sarn          s343                                      sim self sac                              0
  18  sarn          p43263                                    part put pa people per                    0
  19  sarn          l5333                                     lunge leg lex lee                         0
  20  sarn          r345171                                   red read ready r reading r                0
  21  sarn          t1222                                     t ti ta ta                                0
  22  sarn          p4628                                     post public pi position                   0
  23  sarn          e757                                      emitter ethel emerald                     0
  24  sarn          g356                                      get going giving                          0
  25  sarn          e369                                      eel edible emergence                      0
  26  sarn          d2747                                     de despite does defense                   0
  27  sarn          d2355                                     do dam doyle drake                        0
  28  sarn          a1136                                     a a all almost                            0
  29  sarn          t5513                                     tasty tenet t tha                         0
  30  sarn          d9352                                     different did doing do                    0
  31  sarn          c894                                      coverage classmate chat                   0
  32  sarn          f633253                                   friend few far fa found fun               0
  33  sarn          g153115                                   g gleam goa g g glynn                     0
  34  sarn          e62299                                    energy eu em equipment executive          0
  35  sarn          a191                                      a admirable a                             0
  36  sarn          r72554                                    running re right ready real               0
  37  sarn          d4963                                     deal dismissal dreamy dee                 0
  38  sarn          h3253                                     had hi happy her                          0
  39  sarn          a152                                      a alien ao                                0
  40  sarn          m415                                      most m music                              0
  41  sarn          w723521                                   warfare wo win works wy w                 0
  42  sarn          r6454                                     really real right read                    0
  43  sarn          c388363                                   cog chipmunk clinical cur cuddly coy      0
  44  sarn          t732                                      thought two th                            0
  45  sarn          r61724                                    raffle r rosario ra rest                  0
  46  sarn          e78684                                    exactly economic energy election ever     0
  47  sarn          c88894                                    canoeing clubbing compound cultivate cu…  0
  48  sarn          d8784                                     director decided decision down            0
  49  sarn          e97278                                    expressed estuary er encrypt enlisted     0
  50  sarn          m334562                                   man men make money matter me              0
  51  sarn          w4254                                     weak we wharf wear                        0
  52  sarn          a75386                                    already again all american almost         0
  53  sarn          r413                                      rest r rum                                0
  54  sarn          c779                                      company country community                 0
  55  sarn          h5661                                     hence hernia hotter h                     0
  56  sarn          e766938                                   english either energy effective eat evi…  0
  57  sarn          a356751                                   ach among auntie ashanti april a          0
  58  sarn          l362211                                   law likely lo lu l l                      0
  59  sarn          g4322                                     give gee go go                            0
  60  sarn          d68613                                    during director design d did              0
  61  sarn          a469                                      axed anyone accordion                     0
  62  sarn          w343                                      who will way                              0
  63  sarn          d2935                                     de dragonfly den della                    0
  64  sarn          p116648                                   p p public person post position           0
  65  sarn          a34435                                    awa abel andi aba align                   0
  66  sarn          d453185                                   down doing did d director death           0
  67  sarn          c2666                                     ca crunch cooper classy                   0
  68  sarn          m366447                                   man matter myself make most morning       0
  69  sarn          e5484                                     eddie epic existent eats                  0
  70  sarn          w53111                                    where way w w w                           0
  71  sarn          f66645                                    falter forego flawed fizz folio           0
  72  sarn          a165361                                   a around about and always a               0
  73  sarn          b24575                                    be beer break botched brown               0
  74  sarn          m84466                                    minister make most matter myself          0
  75  sarn          e68894                                    embody expanded educated expressly evan   0
  76  sarn          d623978                                   double da due direction defense daughter  0
  77  sarn          c3344                                     cho chi cram coke                         0
  78  sarn          b262344                                   be before by but been back                0
  79  sarn          l54325                                    leigh loco lot ly leila                   0
  80  sarn          l551413                                   least local l life l let                  0
  81  sarn          d383                                      dis disposal die                          0
  82  sarn          f326                                      far fe future                             0
  83  sarn          b326445                                   bey be bumper bore bone bacon             0
  84  sarn          t375444                                   the through their that this they          0
  85  sarn          d3615                                     dor detain d dolly                        0
  86  sarn          t32433                                    two th this too top                       0
  87  sarn          w412                                      wart w wu                                 0
  88  sarn          a3233                                     all an any ago                            0
  89  sarn          h252                                      hy harem hy                               0
  90  sarn          w342                                      was with we                               0
  91  sarn          h7256                                     handgun ho habit hooked                   0
  92  sarn          f7444                                     finally find feel free                    0
  93  sarn          a1317                                     a asa a advised                           0
  94  sarn          w221542                                   wi wu w where what wo                     0
  95  sarn          l213324                                   lo l ley liv lo luis                      0
  96  sarn          e886                                      everyone evidence enough                  0
  97  sarn          h625                                      hassle hy hutch                           0
  98  sarn          g72513                                    general ga great g got                    0
  99  sarn          c822514                                   cheering ca ca comet c cozy               0
 100  sarn          p4436                                     post past pay public                      0
 101  sarn          s4234                                     stag si sax sore                          0
 102  sarn          s81435                                    security s some she still                 0
 103  sarn          r5243                                     rogue re rain rig                         0
 104  sarn          m32262                                    man me mr matter ma                       0
 105  sarn          g1542                                     g glory goof go                           0
 106  sarn          w351                                      way where w                               0
 107  sarn          d261937                                   di devoid d detention dis declare         0
 108  sarn          p28842                                    pa probably possible part po              0
 109  sarn          l4252                                     leak lu laced la                          0
 110  sarn          e37757                                    eat english exactly early episode         0
 111  sarn          m345622                                   mal mead maker mailer mu mr               0
 112  sarn          p263626                                   pi public pay person pu pretty            0
 113  sarn          r544621                                   remus real root retort ra r               0
 114  sarn          w2335                                     we was who which                          0
 115  sarn          a755953                                   austere alkyl aloud appendage again arm   0
 116  sarn          h47263                                    here history hi happen had                0
 117  sarn          e57287                                    enoch esquire er elongate effects         0
 118  sarn          t271                                      te talking t                              0
 119  sarn          c6636                                     cheney chilly cap classy                  0
 120  sarn          p563822                                   place people put probably pa po           0
 121  sarn          h624                                      hickey ha hall                            0
 122  sarn          a679116                                   always against available a a almost       0
 123  sarn          h5134                                     henna h hip heap                          0
 124  sarn          t34524                                    too they think te time                    0
 125  sarn          a564                                      addie amount akin                         0
 126  sarn          e542664                                   every even ex enough either each          0
 127  sarn          p424                                      pool po pane                              0
 128  sarn          l4511                                     life least l l                            0
 129  sarn          r2465                                     ra raid rancho rerun                      0
 130  sarn          t332                                      too top te                                0
 131  sarn          t222713                                   th ti to twinkle t tat                    0
 132  sarn          h43221                                    have his he hi h                          0
 133  sarn          b63594                                    boyish bis bland bluegrass bene           0
 134  sarn          w313454                                   who w way will would what                 0
 135  sarn          c5647                                     candy chunky cola cleaver                 0
 136  sarn          m4293                                     most mr mechanism men                     0
 137  sarn          c464585                                   cord cinder cope coast creature capri     0
 138  sarn          h647                                      health have however                       0
 139  sarn          g13432                                    g gar gigi gio gi                         0
 140  sarn          t326                                      two th trying                             0
 141  sarn          a5234                                     album an abo auld                         0
 142  sarn          b223593                                   ba bo bad black basically bit             0
 143  sarn          l434                                      loss low lest                             0
 144  sarn          h312233                                   his h he hi had her                       0
 145  sarn          a684                                      aubrey adultery alle                      0
 146  sarn          d564466                                   death design does days double degree      0
 147  sarn          h616                                      herald h headed                           0
 148  sarn          d366                                      due double degree                         0
 149  sarn          r416739                                   rosa r raisin redding rex reception       0
 150  sarn          g2322                                     go get ga ge                              0
 151  sarn          m536                                      macon mel master                          0
 152  sarn          c248373                                   ce city complete car country cut          0
 153  sarn          f44354                                    fake fool flu fluid fond                  0
 154  sarn          m343948                                   men most met mechanism much movement      0
 155  sarn          r262                                      re rubbed ro                              0
 156  sarn          h23354                                    he his had house have                     0
 157  sarn          p2613                                     pa prince p pix                           0
 158  sarn          a56755                                    after always against again along          0
 159  sarn          d367                                      dig daphne dungeon                        0
 160  sarn          t2232                                     te ta too td                              0
 161  sarn          b634                                      barley bae baby                           0
 162  sarn          e22572                                    ex ed every example eu                    0
 163  sarn          e67992                                    exempt erratic embracing extortion ea     0
 164  sarn          s413                                      said s see                                0
 165  sarn          g663                                      gaming gender goo                         0
 166  sarn          r24242                                    ro room re road ra                        0
 167  sarn          a396                                      arm aeroplane aubrey                      0
 168  sarn          e3929                                     end education ex effective                0
 169  sarn          l218765                                   la l limerick lovable leaves lousy        0
 170  sarn          e2399                                     ed eat effective equipment                0
 171  sarn          d4536                                     dish diana das deluxe                     0
 172  sarn          s633                                      second say set                            0
 173  sarn          h644                                      happen hint host                          0
 174  sarn          d75361                                    decided doing did during d                0
 175  sarn          d918                                      deference d downpour                      0
 176  sarn          a6564                                     always after almost away                  0
